mz,rt,QE2_sbs_11_1.blank.,QE2_sbs_11_10.2S.,QE2_sbs_11_11.27NOC.,QE2_sbs_11_12.30NOC.,QE2_sbs_11_13.3S.,QE2_sbs_11_14.6S.,QE2_sbs_11_15.29NOC.,QE2_sbs_11_16.blank.,QE2_sbs_11_17.neat_qc.,QE2_sbs_11_18.pooled_qc.,QE2_sbs_11_19.16N.,QE2_sbs_11_2.blank.,QE2_sbs_11_20.11N.,QE2_sbs_11_21.1S.,QE2_sbs_11_22.26NOC.,QE2_sbs_11_23.28NOC.,QE2_sbs_11_24.17OC.,QE2_sbs_11_25.18OC.,QE2_sbs_11_26.23OC.,QE2_sbs_11_27.24OC.,QE2_sbs_11_28.12N.,QE2_sbs_11_29.blank.,QE2_sbs_11_3.blank.,QE2_sbs_11_30.neat_qc.,QE2_sbs_11_31.pooled_qc.,QE2_sbs_11_32.15N.,QE2_sbs_11_33.25NOC.,QE2_sbs_11_34.19OC.,QE2_sbs_11_35.22OC.,QE2_sbs_11_36.31NOC.,QE2_sbs_11_37.21OC.,QE2_sbs_11_38.8S.,QE2_sbs_11_39.20OC.,QE2_sbs_11_4.neat_qc.,QE2_sbs_11_40.13N.,QE2_sbs_11_41.32NOC.,QE2_sbs_11_42.blank.,QE2_sbs_11_43.neat_qc.,QE2_sbs_11_44.pooled_qc.,QE2_sbs_11_45.7S.,QE2_sbs_11_46.14N.,QE2_sbs_11_47.4Sddms2.,QE2_sbs_11_48.10Nddms2.,QE2_sbs_11_49.27NOCddms2.,QE2_sbs_11_5.pooled_qc._150123105329,QE2_sbs_11_5.pooled_qc.,QE2_sbs_11_50.17OCddms2.,QE2_sbs_11_6.4S.,QE2_sbs_11_7.10N.,QE2_sbs_11_8.9N.,QE2_sbs_11_9.5S.
246.8634897,0.084988405,0,957932.2626,725247.2672,894150.9542,725527.9225,581484.4929,507624.1361,0,0,0,444883.9169,0,401868.9497,397391.2984,0,349745.4139,296510.926,0,296150.4947,314628.3494,300946.2979,0,0,349572.716,0,351773.1258,0,0,0,0,207063.1927,278773.594,0,0,261985.6786,0,0,0,0,0,312508.9127,421338.2012,452983.7966,521010.7433,13287019.95,170527.5231,548917.8326,389255.9435,548118.1993,892795.4963,953556.1704
287.8888961,0.101604626,0,6809164.751,4997695.749,5446138.472,4308778.917,4098699.004,3741494.701,0,0,0,3153820.201,0,3034451.663,2692316.335,2437346.882,2429066.409,2217144.996,2297685.435,2218526.336,2138199.565,2144120.136,0,0,2333051.963,1958049.505,2194557.575,2025067.066,1903741.634,1706489.21,1762311.947,1840333.255,1925066.201,1934666.353,0,1902010.74,2008116.172,0,0,1958108.987,1880383.722,2056214.946,2566308.431,2700951.667,3070772.433,105287255.7,1001394.206,3185601.43,2513848.501,3481940.342,5134912.482,6231279.383
86.5064323,0.105927418,0,775382.1511,640743.4167,727246.027,714036.1001,715253.3027,707912.2048,0,0,0,751447.669,0,725430.2069,719960.1509,627368.5554,605684.3215,690722.5657,589562.5976,604302.5132,589159.0337,582786.6277,0,0,0,563717.034,525677.9564,612397.7524,580541.2348,533213.7517,573104.3246,596562.1906,584427.356,593960.0721,0,595707.3609,597082.1092,0,0,588269.9535,577470.9046,605848.3099,797162.8938,624087.0689,749424.4181,3871767.557,547125.318,792079.1499,508557.8075,529997.732,591965.9827,774344.8048
259.8943208,0.107477626,0,2374656.79,1733167.067,2070351.887,1785683.453,1640630.508,1539382.494,0,0,0,1473363.888,0,1257505.032,1220273.373,1129814.707,1143555.441,1062332.082,1074927.307,984890.0286,1068873.183,978568.86,0,0,1257903.342,1061275.853,1004920.651,990980.1957,847207.6224,901394.053,820698.1773,828741.2721,919387.716,853945.8494,0,841486.9,928466.8226,0,0,1040683.246,824174.2264,924971.9429,1171213.114,1381278.684,1569008.783,16660111.83,602889.5216,1432175.172,1209709.596,1556295.216,2109335.372,2277619.63
271.9163602,0.125324958,0,1758051.463,1657961.931,1719297.003,1508569.762,1668571.472,1646261.36,0,0,0,1632993.858,0,1532178.929,1510836.62,1467276.674,1461704.72,0,1517875.335,1539615.405,1450985.443,1499702.394,0,0,0,0,1376813.489,1388776.31,1564216.716,1442265.332,0,1363548.112,1395535.024,1491960.138,0,1549828.403,0,0,0,0,0,0,1546630.809,1701255.447,1585096.443,9032984.883,1149492.524,1588992.194,1677359.053,1675535.048,1731719.577,1870103.835
241.8836343,0.127612825,0,829117.0184,860175.6383,878084.8911,982319.7193,0,931203.3361,0,0,0,947522.9051,0,870528.5886,868867.3239,787013.9591,751736.6452,805172.2656,766420.1762,793106.2071,831756.4723,734354.2899,0,0,1008994.684,927225.0054,797430.0357,827439.0703,719206.5693,679603.5466,705576.8626,681895.8532,686940.9838,696808.9635,0,655895.3464,624569.748,0,0,828801.4547,686214.1597,619365.2718,763150.3278,1067470.695,948873.2817,2757667.255,686361.1947,988290.5701,669185.9446,0,0,808327.7536
225.9114464,0.129911868,0,423764.4398,456474.0699,496388.0814,512637.6995,458069.9199,533583.8992,0,0,0,541036.9231,0,453093.2659,444261.194,428928.22,414556.564,381105.4864,415323.0095,443130.3639,418607.0209,405294.2575,0,0,493937.2134,514821.3054,436233.2665,396597.842,360157.333,351070.0246,353720.0854,317156.6183,335924.0746,305064.8547,0,301658.2778,290488.5532,0,0,401064.6404,316077.5909,285660.1363,351847.3953,549324.651,417600.7809,86256.00378,491509.553,405956.9071,413236.7971,0,0,473233.8301
113.9642578,0.160861368,0,79996340.01,76512261.02,79992014.1,79372286.73,79133225.16,80366754.53,0,0,0,83287788.26,0,78912483.09,80824912.17,78642303.03,77818854.39,78625718.88,80021595.15,81699554.9,82003510.06,85012645.16,0,0,0,83731469.73,83782700.95,85271133.93,85386138.26,83465087.17,84844481.97,88157627.14,87371670.31,92883210.62,0,90435085.44,90933735.48,0,0,93609453.43,94491100.52,0,88249655.58,85442433.55,86370658.4,674253209.2,54395279.13,88596476.26,59429809.26,62066696.43,67317330.28,76379814.3
162.9984159,0.196701796,0,5381233.289,5463983.086,5553047.327,5372464.741,5265490.633,5459937.955,0,0,0,5536145.528,0,5307537.004,5360515.658,5247174.102,5148551.102,0,5327751.407,5320417.167,5285284.654,0,0,0,0,5454114.546,5958638.546,5506322.931,0,5422566.57,0,5309376.844,5581810.495,5339391.438,0,5308833.09,5311756.585,0,0,6085367.794,5407364.652,0,6014397.77,5535405.981,0,15798092.41,6135627.75,0,6128794.519,5624498.138,5254023.364,5489639.965
178.9910279,0.233834261,0,2005912.86,1949175.045,2117347.896,2098925.783,2050743.215,2124836.108,0,0,0,1856794.533,0,1945060.041,2095132.983,2051627.734,2020418.908,2036732.012,1950640.935,2118310.554,2112451.012,2124021.791,0,0,2356105.313,1986712.641,2155969.305,2145229.051,2139775.565,2265889.87,2177304.559,2131960.074,2244310.209,2259288.63,0,2148346.813,2204650.095,0,0,2053341.642,2199557.776,2225201.721,2545999.25,2079083.545,0,3237316.606,1538374.546,0,1429222.261,1727533.374,1873868.839,1975133.299
